"ÉTUDE SALAIRE 2018 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","Avez-vous un autre diplôme ?","","","","","","","","","","","Compétences mobilisées","","","","","","","","","","","","","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Votre diplôme principal","Autre diplôme principal","Votre année de diplôme","non","oui","Nombre d'années d'expérience","Localisation actuelle","Autre localisation","Type actuel d'entreprise","Autre type d'entreprise","Taille de votre entreprise actuelle","Convention collective de l'entreprise","Type de poste actuel","Autre type de poste","Rédactions de documents administratifs (devis, offres, ...)","Recrutement (planification, offre, entretien, ...)","Management (gestion d'équipe, pilotage de projets)","Communication graphique et orale","Veille technique et normative","Concertation","Terrain","Réalisation de concours","Conception (phase esquisse)","Conception (phase AVP)","Conception (phase PRO)","Conception (phase DCE)","ACT - Analyse des offres","Suivi de chantiers","Commercial et relation client","Années d'ancienneté au sein de votre entreprise actuelle","Quelle est votre salaire brut annuel FIXE en 2018 (ajusté pour un temps plein) ?","Quelle est l'estimation de votre rémunération VARIABLE en 2018 ?"
"21","1253480","31/10/2018 - 08:51","31/10/2018 - 08:51","31/10/2018 - 08:51","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","","X","3","Paris","","Agence","","11-25","Entrepeises d'Architecture","Chargé(e) d'étude débutant","","","","X","X","X","","X","X","X","X","X","X","","","","0","29000","0"
"22","1253489","31/10/2018 - 08:54","31/10/2018 - 08:54","31/10/2018 - 08:54","0","0.0.0.0","0","Anonymous","INH","","2018","X","","0","Île-de-France","","Bureau d'études","","6-10","Syntec","Chargé(e) d'étude débutant","","X","","","X","","X","X","","","X","","","X","X","","0","26400","0"
"23","1253510","31/10/2018 - 09:00","31/10/2018 - 09:00","31/10/2018 - 09:00","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","X","","3","Autre","tours","Association","","6-10","Entreprises d'architecture","Chargé(e) d'étude","","X","","X","X","X","X","X","","X","","","","X","","","1","30540","1200"
"24","1253533","31/10/2018 - 09:05","31/10/2018 - 09:05","31/10/2018 - 09:05","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","","X","3","Paris","","Agence","","6-10","Entreprises paysagistes","Assistant(e) de projet","","","","X","X","","X","","X","X","X","X","X","","","","0","31200","28000"
"25","1253538","31/10/2018 - 09:06","31/10/2018 - 09:06","31/10/2018 - 09:06","0","0.0.0.0","0","Anonymous","INH","","2014","X","","4","Nantes","","Autre","Entreprise d'espace vert","51-200","Entreprises paysagistes","Chargé(e) d'étude","","","","","","","","X","","","","","","","X","X","4","31200","8000"
"26","1253540","31/10/2018 - 09:06","31/10/2018 - 09:06","31/10/2018 - 09:06","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2016","X","","2","Autre","Jura","Association","","6-10","CAUE","Autre","paysagiste conseiller","X","","X","X","X","X","","","X","","","","","","X","1","33000","0"
"27","1253543","31/10/2018 - 09:08","31/10/2018 - 09:08","31/10/2018 - 09:08","0","0.0.0.0","0","Anonymous","Autre","Ingénieur agronome - validation des acquis a l'INHP pendant 1 an","2011","X","","7","Lyon","","Bureau d'études","","11-25","Entreprises d'architecture","Chef(fe) de projet","","X","X","X","X","X","","X","X","X","X","X","X","X","X","X","1","28080","0"
"28","1253594","31/10/2018 - 09:20","31/10/2018 - 09:20","31/10/2018 - 09:20","0","0.0.0.0","0","Anonymous","ENSNP","","2013","X","","4","Strasbourg","","Agence","","2-5","Entreprise d'architecture","Chargé(e) d'étude","","","","","X","X","X","X","X","X","X","X","X","X","X","","2","27300","500"
"29","1253598","31/10/2018 - 09:21","31/10/2018 - 09:21","31/10/2018 - 09:21","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2011","","X","5","Île-de-France","","Agence","","26-50","Entreprises paysagistes","Chef(fe) de projet débutant","","","","","","","","","","X","X","","","","","","1","31200","500"
"30","1253606","31/10/2018 - 09:24","31/10/2018 - 09:24","31/10/2018 - 09:24","0","0.0.0.0","0","Anonymous","INH","","2010","","X","8","Suisse","","Bureau d'études","","6-10","Bureau d'étude environnement et paysage","Chargé(e) d'étude confirmé","","","","","X","","","","X","X","X","X","","","","","1","66300","5100"
