"ÉTUDE SALAIRE 2018 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","Avez-vous un autre diplôme ?","","","","","","","","","","","Compétences mobilisées","","","","","","","","","","","","","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Votre diplôme principal","Autre diplôme principal","Votre année de diplôme","non","oui","Nombre d'années d'expérience","Localisation actuelle","Autre localisation","Type actuel d'entreprise","Autre type d'entreprise","Taille de votre entreprise actuelle","Convention collective de l'entreprise","Type de poste actuel","Autre type de poste","Rédactions de documents administratifs (devis, offres, ...)","Recrutement (planification, offre, entretien, ...)","Management (gestion d'équipe, pilotage de projets)","Communication graphique et orale","Veille technique et normative","Concertation","Terrain","Réalisation de concours","Conception (phase esquisse)","Conception (phase AVP)","Conception (phase PRO)","Conception (phase DCE)","ACT - Analyse des offres","Suivi de chantiers","Commercial et relation client","Années d'ancienneté au sein de votre entreprise actuelle","Quelle est votre salaire brut annuel FIXE en 2018 (ajusté pour un temps plein) ?","Quelle est l'estimation de votre rémunération VARIABLE en 2018 ?"
"67","1254373","31/10/2018 - 12:14","31/10/2018 - 12:14","31/10/2018 - 12:14","0","0.0.0.0","0","Anonymous","ENSAPBX","","2016","","X","1","Bordeaux","","Freelance / Indépendant","","1","Entreprises paysagistes","Autre","Dirigeant (liberal) ","X","","","X","X","X","X","X","","","","","","","X","1","16000","0"
"68","1254377","31/10/2018 - 12:14","31/10/2018 - 12:14","31/10/2018 - 12:14","0","0.0.0.0","0","Anonymous","INH","","2016","X","","2","Allemagne","","Agence","","26-50","entreprises d’architecture","Chargé(e) d'étude","","","","","X","","","","","","X","X","X","","","","2","27200","0"
"69","1254416","31/10/2018 - 12:23","31/10/2018 - 12:23","03/11/2018 - 17:41","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","","X","7","Paris","","Agence","","26-50","architecture ","Chargé(e) d'étude","","","","","X","","","","X","X","X","X","X","","","","1","36800","35000"
"70","1254418","31/10/2018 - 12:23","31/10/2018 - 12:23","31/10/2018 - 12:23","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","X","","2","Autre","Creil","Association","","11-25","Acteurs du développement et de l'ingénierie territoriale d'intérêt général (en cours, cf. Fnau, CAUE)","Chargé(e) d'étude","","","","","X","","X","X","","","","","","","","","2","26273","0"
"71","1254426","31/10/2018 - 12:25","31/10/2018 - 12:25","31/10/2018 - 12:25","0","0.0.0.0","0","Anonymous","INH","","2017","X","","1","Angleterre","","Bureau d'études","","2-5","Entreprises paysagistes","Chargé(e) d'étude débutant","","","","","X","","","X","","X","X","X","X","","","","1","22000","0"
"72","1254439","31/10/2018 - 12:29","31/10/2018 - 12:29","31/10/2018 - 12:29","0","0.0.0.0","0","Anonymous","INH","","2017","X","","1","Paris","","Agence","","2-5","Entreprises paysagistes","Chef(fe) de projet","","X","","X","X","","","X","X","X","X","X","X","","X","X","1","29640","0"
"73","1254495","31/10/2018 - 12:42","31/10/2018 - 12:42","31/10/2018 - 12:42","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2018","X","","2","Paris","","Agence","","6-10","Entreprises paysagistes","Assistant(e) de projet","","X","","","X","","","X","X","X","X","X","X","X","X","","0","28580","0"
"74","1254523","31/10/2018 - 12:48","31/10/2018 - 12:48","23/11/2018 - 21:14","0","0.0.0.0","0","Anonymous","Gembloux","","2016","X","","2","Suisse","","Bureau d'études","","11-25","Convention  architecte ","Chef(fe) de projet","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","2","49000","47000"
"75","1254527","31/10/2018 - 12:49","31/10/2018 - 12:49","31/10/2018 - 12:49","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","X","","2","Paris","","Agence","","11-25","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","","X","X","X","X","","","X","X","","","","","2","25000","500"
"76","1254585","31/10/2018 - 13:04","31/10/2018 - 13:04","31/10/2018 - 13:04","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","X","","1","Paris","","Agence","","6-10","Code du travail","Assistant(e) de projet","","","","","X","","X","X","X","X","X","X","X","","","","1","26676","0"
"77","1254603","31/10/2018 - 13:08","31/10/2018 - 13:08","31/10/2018 - 13:08","0","0.0.0.0","0","Anonymous","INH","","2016","X","","2","Toulouse","","Public","","51-200","Fonction publique","Autre","Responsable service des espaces verts et sportifs","X","X","X","X","X","X","X","","X","","","","","X","","2","28200","0"
"78","1254764","31/10/2018 - 13:52","31/10/2018 - 13:52","31/10/2018 - 13:52","0","0.0.0.0","0","Anonymous","ENSAPL","","2017","","X","0","Lille","","Agence","","2-5","Entreprises paysagistes","Chef(fe) de projet débutant","","X","","","X","","","X","X","X","X","X","X","X","X","","1","31200","0"
"79","1254819","31/10/2018 - 14:06","31/10/2018 - 14:06","31/10/2018 - 14:06","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2010","","X","8","Autre","La Réunion ","Agence","","6-10","Entreprises paysagistes","Chargé(e) d'étude confirmé","","X","","","X","","","X","X","X","X","X","X","X","X","X","5","37440","500"
"80","1254821","31/10/2018 - 14:06","31/10/2018 - 14:06","31/10/2018 - 14:06","0","0.0.0.0","0","Anonymous","INH","","2011","X","","6","Nantes","","Bureau d'études","","26-50","architecture","Chef(fe) de projet","","","","","X","","","X","X","X","X","X","X","X","X","","5","33750","0"
"81","1254839","31/10/2018 - 14:09","31/10/2018 - 14:09","23/11/2018 - 21:17","0","0.0.0.0","0","Anonymous","ESAJ","","2012","X","","6","Île-de-France","","Maîtrise d'œuvre","","51-200","Entreprises paysagistes","Autre","Chargée d'études de prix","X","","","","","","X","","","","","","","","X","1","36000","0"
"82","1254844","31/10/2018 - 14:10","31/10/2018 - 14:10","31/10/2018 - 14:10","0","0.0.0.0","0","Anonymous","ENSAPL","","2017","","X","1","Lyon","","Agence","","6-10","Entreprise d'architecture","Chargé(e) d'étude débutant","","X","","","X","","","X","X","X","X","","","","","","1","24960","0"
"83","1254868","31/10/2018 - 14:13","31/10/2018 - 14:13","31/10/2018 - 14:13","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2010","","X","8","Autre","La Réunion ","Agence","","6-10","Entreprises paysagistes","Chargé(e) d'étude confirmé","","X","","","X","","","X","X","X","X","X","X","X","X","X","5","39397","37922"
"84","1254869","31/10/2018 - 14:13","31/10/2018 - 14:13","31/10/2018 - 14:13","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2010","","X","8","Autre","La Réunion ","Agence","","6-10","Entreprises paysagistes","Chargé(e) d'étude confirmé","","X","","","X","","","X","X","X","X","X","X","X","X","X","5","39397","37922"
"85","1254870","31/10/2018 - 14:13","31/10/2018 - 14:13","31/10/2018 - 14:13","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2010","","X","8","Autre","La Réunion ","Agence","","6-10","Entreprises paysagistes","Chargé(e) d'étude confirmé","","X","","","X","","","X","X","X","X","X","X","X","X","X","5","39397","37922"
"86","1254905","31/10/2018 - 14:21","31/10/2018 - 14:21","31/10/2018 - 14:21","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","X","","1","Paris","","Agence","","6-10","Entreprises paysagistes","Assistant(e) de projet","","","","","X","X","","X","","X","X","X","X","","","","1","26520","0"
"87","1254971","31/10/2018 - 14:34","31/10/2018 - 14:34","31/10/2018 - 14:34","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","","X","1","Paris","","Agence","","11-25","Entreprises paysagistes","Chargé(e) d'étude débutant","","","","","","","","","X","X","X","","","","","","1","27300","0"
"88","1255043","31/10/2018 - 14:51","31/10/2018 - 14:51","31/10/2018 - 14:51","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","","X","5","Paris","","Agence","","26-50","Convention des architectes","Assistant(e) de projet","","","","","X","","","","","X","X","X","X","X","X","","1","32600","32600"
"89","1255050","31/10/2018 - 14:53","31/10/2018 - 14:53","31/10/2018 - 14:53","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2010","","X","8","Autre","La Réunion ","Agence","","6-10","Bureaux d’études","Chef(fe) de projet","","X","X","X","X","","","X","X","X","X","X","X","X","X","","8","26810","2000"
"90","1255114","31/10/2018 - 15:09","31/10/2018 - 15:09","31/10/2018 - 15:09","0","0.0.0.0","0","Anonymous","Autre","UDEM","2014","","X","2","Canada","","Bureau d'études","","1001-...","Autre","Assistant(e) de projet","","","","","X","X","X","","X","X","X","X","X","","","","2","26200","780"
"91","1255154","31/10/2018 - 15:16","31/10/2018 - 15:16","31/10/2018 - 15:16","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","","X","2","Paris","","Conseil","","6-10","Bureaux d'études conseil","Chargé(e) d'étude","","X","","X","X","","X","","","X","","","","X","","X","2","26520","0"
"92","1255155","31/10/2018 - 15:16","31/10/2018 - 15:16","31/10/2018 - 15:16","0","0.0.0.0","0","Anonymous","ENSAPBX","","2015","X","X","2","Autre","Clermont Ferrand ","Agence","","26-50","Entreprises d'architecture ","Assistant(e) de projet","","","","","X","","","","X","X","X","X","","","","","2","26800","1000"
"93","1255166","31/10/2018 - 15:19","31/10/2018 - 15:19","31/10/2018 - 15:19","0","0.0.0.0","0","Anonymous","INH","","2013","X","","4","Lyon","","Agence","","2-5","entreprises d’architecture","Chef(fe) de projet","","X","","X","X","","X","X","X","X","X","X","X","X","","","2","28800","0"
"94","1255167","31/10/2018 - 15:19","31/10/2018 - 15:19","31/10/2018 - 15:19","0","0.0.0.0","0","Anonymous","INH","","2013","X","","4","Lyon","","Agence","","2-5","entreprises d’architecture","Chef(fe) de projet","","X","","X","X","","X","X","X","X","X","X","X","X","","","2","28800","0"
"95","1255240","31/10/2018 - 15:34","31/10/2018 - 15:34","31/10/2018 - 15:34","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2016","X","","2","Autre","Norvège","Agence","","11-25","Entreprises paysagistes","Dessinateur(trice) projeteur","","","","","X","X","X","X","X","X","X","X","X","","X","","2","55000","50000"
"96","1255308","31/10/2018 - 15:47","31/10/2018 - 15:47","23/11/2018 - 21:20","0","0.0.0.0","0","Anonymous","ESAJ","","2013","","X","2","Paris","","Agence","","6-10","Entreprises paysagistes","Assistant(e) d'étude","","","","","X","","","","X","X","X","X","","","","","2","34350","0"
"97","1255629","31/10/2018 - 17:12","31/10/2018 - 17:12","31/10/2018 - 17:12","0","0.0.0.0","0","Anonymous","INH","","2017","X","","1","Nantes","","Maîtrise d'œuvre","","2-5","Entreprises paysagistes","Assistant(e) de projet","","","","","X","","","","X","X","X","X","X","","","","1","21000","0"
"98","1255707","31/10/2018 - 17:35","31/10/2018 - 17:35","31/10/2018 - 17:35","0","0.0.0.0","0","Anonymous","INH","","2012","X","","6","Autre","Maine et Loire","Freelance / Indépendant","","1","Entreprises paysagistes","Directeur(trice) de société","","X","X","X","X","X","","X","","","","","","","X","X","2","23400","0"
"99","1255749","31/10/2018 - 17:48","31/10/2018 - 17:48","31/10/2018 - 17:48","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","","X","4","Autre","Cantal","Freelance / Indépendant","","1","Entrepreneure-salariée au sein d'une coopérative d'entrepreneur","Autre","À mon compte","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","2","17976","0"
"100","1255764","31/10/2018 - 17:54","31/10/2018 - 17:54","31/10/2018 - 17:54","0","0.0.0.0","0","Anonymous","INH","","2017","X","","1","Nantes","","Bureau d'études","","11-25","Entreprises paysagistes","Assistant(e) de projet","","X","","","","","","","X","X","X","X","X","X","","","1","25200","0"
"101","1255768","31/10/2018 - 17:55","31/10/2018 - 17:55","31/10/2018 - 17:55","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2010","X","","8","Autre","La reunion","Agence","","6-10","Entreprises paysagistes","Chargé(e) d'étude confirmé","","","","","X","","X","X","X","X","X","X","X","X","X","X","2","33500","33500"
"102","1255834","31/10/2018 - 18:16","31/10/2018 - 18:16","31/10/2018 - 18:16","0","0.0.0.0","0","Anonymous","ENSAPBX","","2017","X","","1","Nantes","","Bureau d'études","","1","Bureau d'architecture","Assistant(e) de projet","","X","","","X","","","","X","X","X","X","X","X","X","","1","21840","0"
"103","1255854","31/10/2018 - 18:23","31/10/2018 - 18:23","23/11/2018 - 21:17","0","0.0.0.0","0","Anonymous","ESAJ","","2005","","X","11","Paris","","Public","","51-200","Fonction publique territoriale ","Chef(fe) de projet","","X","","X","X","","","X","","X","X","X","X","X","X","","7","45200","0"
"104","1255880","31/10/2018 - 18:32","31/10/2018 - 18:32","23/11/2018 - 21:16","0","0.0.0.0","0","Anonymous","ESAJ","","2013","","X","4","Paris","","Bureau d'études","","51-200","SYNTEC","Chef(fe) de projet débutant","","X","","","X","","X","X","","X","X","X","X","X","X","X","4","29500","600"
"105","1255888","31/10/2018 - 18:36","31/10/2018 - 18:36","31/10/2018 - 18:36","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","X","","3","Autre","Creuse","Freelance / Indépendant","","1","Entreprises paysagistes","Directeur(trice) de société","","","","","X","","","X","","X","","","","","","","3","15000","12000"
"106","1255927","31/10/2018 - 18:46","31/10/2018 - 18:46","31/10/2018 - 18:46","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2019","X","","0","Île-de-France","","Etudiant","","6-10","Entreprises paysagistes","Chargé(e) d'étude débutant","","","","","X","","","X","X","X","X","","","","","","0","31200","500"
"107","1256192","31/10/2018 - 20:14","31/10/2018 - 20:14","31/10/2018 - 20:14","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","","X","2","Lyon","","Agence","","501-1000","Entreprises d'architecture","Dessinateur(trice) projeteur","","","","","X","","","","X","X","X","X","X","X","","","2","26400","0"
"108","1256203","31/10/2018 - 20:21","31/10/2018 - 20:21","03/11/2018 - 17:35","0","0.0.0.0","0","Anonymous","INH","","2010","","X","8","Toulouse","","Bureau d'études","","201-500","Syntec","Chargé(e) d'étude confirmé","","X","","","X","X","","X","","X","X","X","X","X","X","","8","31000","300"
"109","1256323","31/10/2018 - 21:22","31/10/2018 - 21:22","31/10/2018 - 21:22","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2012","X","","6","Allemagne","","Agence","","26-50","Entreprises paysagistes","Chef(fe) de projet","","X","","X","X","","X","X","","","X","X","X","X","X","","6","31200","0"
"110","1256425","31/10/2018 - 22:21","31/10/2018 - 22:21","23/11/2018 - 21:13","0","0.0.0.0","0","Anonymous","Gembloux","","2017","","X","1","Île-de-France","","Bureau d'études","","51-200","Entreprises paysagistes","Chargé(e) d'étude","","X","","","X","X","","","X","X","X","X","X","","","","1","32000","0"
"111","1256447","31/10/2018 - 22:33","31/10/2018 - 22:33","31/10/2018 - 22:33","0","0.0.0.0","0","Anonymous","ENSNP","","2017","","X","1","Nantes","","Bureau d'études","","51-200","Syntec","Chargé(e) d'étude","","X","","","X","","X","X","","X","","","","","","X","0","26400","0"
"112","1256455","31/10/2018 - 22:41","31/10/2018 - 22:41","03/11/2018 - 17:35","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","","X","4","Rennes","","Public","","51-200","fonction publique","Chargé(e) d'étude","","X","","","","X","X","X","","X","X","","","X","","","2","29700","0"
"113","1256508","31/10/2018 - 23:16","31/10/2018 - 23:16","31/10/2018 - 23:16","0","0.0.0.0","0","Anonymous","INH","","2006","X","","12","Autre","","Agence","","2-5","Syntec","Chef(fe) de projet","","X","","X","X","X","X","X","X","X","X","X","X","X","X","","12","42000","500"
"114","1256567","01/11/2018 - 00:46","01/11/2018 - 00:46","03/11/2018 - 17:36","0","0.0.0.0","0","Anonymous","Autre","BTS design d'espace","2013","","X","2","Suisse","","Freelance / Indépendant","","2-5","Architecture du paysage Suisse","Chargé(e) d'étude","","","","","","","X","","X","","X","X","","","","","0","22000","0"
"115","1256569","01/11/2018 - 00:47","01/11/2018 - 00:47","01/11/2018 - 00:47","0","0.0.0.0","0","Anonymous","ENSP Versailles","","1998","X","","15","Île-de-France","","Maîtrise d'œuvre","","11-25","Entreprises paysagistes","Autre","","","","","","","","X","X","","","","X","","X","","15","31200","500"
"116","1256731","01/11/2018 - 08:06","01/11/2018 - 08:06","01/11/2018 - 08:06","0","0.0.0.0","0","Anonymous","INH","","2017","","X","2","Lyon","","Groupe","","501-1000","Entreprises paysagistes","Autre","Aide CDT","X","","X","","X","","X","","","","","","","X","X","1","28000","500"
"117","1256764","01/11/2018 - 08:40","01/11/2018 - 08:40","01/11/2018 - 08:40","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2018","","X","1","Paris","","Agence","","11-25","Entreprises architecture ","Assistant(e) de projet","","","","","X","","X","X","","X","X","X","","","X","","0","28080","0"
"118","1256806","01/11/2018 - 09:10","01/11/2018 - 09:10","01/11/2018 - 09:10","0","0.0.0.0","0","Anonymous","INH","","2013","X","","5","Île-de-France","","Bureau d'études","","11-25","Syntec","Chef(fe) de projet","","","","","","","","","","X","X","X","X","X","X","","1","36380","0"
"119","1256844","01/11/2018 - 09:27","01/11/2018 - 09:27","01/11/2018 - 09:27","0","0.0.0.0","0","Anonymous","Autre","CS ccp","2017","","X","5","Toulouse","","Agence","","11-25","Entreprises paysagistes","Chargé(e) d'étude","","X","X","X","X","X","X","","","","","","","","X","X","1","28000","200"
"120","1256993","01/11/2018 - 10:26","01/11/2018 - 10:26","01/11/2018 - 10:26","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","","X","3","Marseille - Aix-en-Provence","","Bureau d'études","","11-25","Entreprises paysagistes","Chef(fe) de projet","","X","","","X","","","X","","X","X","X","X","X","","","0","30000","20000"
"121","1257033","01/11/2018 - 10:44","01/11/2018 - 10:44","01/11/2018 - 10:44","0","0.0.0.0","0","Anonymous","ENSP Versailles - Formation continue","","2016","","X","3","Lyon","","Maîtrise d'œuvre","","6-10","Entreprise d'architecture","Chef(fe) de projet débutant","","","","","X","","","","X","X","X","X","","","","","2","26520","600"
"122","1257061","01/11/2018 - 10:56","01/11/2018 - 10:56","01/11/2018 - 10:56","0","0.0.0.0","0","Anonymous","ENSNP","","2017","X","","1","Autre","Irlande","Agence","","11-25","Entreprises paysagistes","Chargé(e) d'étude débutant","","","","","X","X","","X","","","X","X","X","","X","X","1","28000","500"
"123","1257113","01/11/2018 - 11:20","01/11/2018 - 11:20","01/11/2018 - 11:20","0","0.0.0.0","0","Anonymous","ENSNP","","2014","X","","4","Paris","","Maîtrise d'œuvre","","6-10","Entreprises architecture","Chef(fe) de projet débutant","","X","X","X","X","","X","","X","X","X","X","X","","","X","3","33000","0"
"124","1257146","01/11/2018 - 11:31","01/11/2018 - 11:31","01/11/2018 - 11:31","0","0.0.0.0","0","Anonymous","ENSAPBX","","2018","X","","1","Bordeaux","","Agence","","2-5","Entreprises paysagistes","Chef(fe) de projet débutant","","","","","X","","","X","X","X","X","X","","X","","X","1","22620","0"
"125","1257315","01/11/2018 - 13:14","01/11/2018 - 13:14","01/11/2018 - 13:14","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2017","","X","1","Marseille - Aix-en-Provence","","Freelance / Indépendant","","1","Entreprises paysagistes","Chef(fe) de projet débutant","","X","","","X","","","X","X","X","X","X","X","X","X","X","1","15000","500"
"126","1257449","01/11/2018 - 14:37","01/11/2018 - 14:37","03/11/2018 - 17:33","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","X","","2","Autre","Compiègne","Bureau d'études","","11-25","Syntec ","Directeur(trice) d'agence","","X","X","X","X","","","X","X","X","X","X","X","","X","X","2","50004","800"
"127","1257508","01/11/2018 - 15:03","01/11/2018 - 15:03","01/11/2018 - 15:03","0","0.0.0.0","0","Anonymous","INH","","2017","","X","1","Suisse","","Bureau d'études","","26-50","Entreprises paysagistes, entreprises d'architecture","Chef(fe) de projet débutant","","X","","","","","","","","","X","X","","","","","1","55000","0"
"128","1257700","01/11/2018 - 16:39","01/11/2018 - 16:39","01/11/2018 - 16:39","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","X","","0","Paris","","Agence","","11-25","Entreprises d'architecture ","Chargé(e) d'étude débutant","","X","","X","X","","X","X","","X","","","","","","","0","28860","0"
"129","1257729","01/11/2018 - 16:47","01/11/2018 - 16:47","01/11/2018 - 16:47","0","0.0.0.0","0","Anonymous","ENSAPBX","","2018","","X","0","Rennes","","Autre","entreprise de travaux paysagers et piscine","11-25","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","","X","","","","","X","","","","","","","0","20400","0"
"130","1257900","01/11/2018 - 17:58","01/11/2018 - 17:58","01/11/2018 - 17:58","0","0.0.0.0","0","Anonymous","ENSNP","","2017","X","","1","Île-de-France","","Agence","","6-10","entreprises d’architecture","Chargé(e) d'étude","","","","X","X","","X","X","","","","","","","","","1","32760","0"
"131","1258027","01/11/2018 - 18:46","01/11/2018 - 18:46","01/11/2018 - 18:46","0","0.0.0.0","0","Anonymous","Autre","Bac pro paysager et niveau BTS aménagement d'espace vert.","2001","X","","19","Autre","Essonne","Autre","PME","11-25","Entreprises paysagistes","Autre","Chef de chantiers Tam 1","","","X","","","","X","","","","","","","X","","2","22200","22000"
"132","1258041","01/11/2018 - 18:51","01/11/2018 - 18:51","01/11/2018 - 18:51","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2015","","X","2","Paris","","Public","","51-200","fonction publique","Chargé(e) d'étude","","X","","X","X","","X","","X","","","","","","","","1","31200","26500"
"133","1258182","01/11/2018 - 19:36","01/11/2018 - 19:36","03/11/2018 - 17:36","0","0.0.0.0","0","Anonymous","ENSAPBX","","2015","","X","2","Autre","Pays Bas","Agence","","11-25","Entreprises paysagistes","Assistant(e) de projet","","","","","X","","","","X","X","X","","","","","","1","26700","16000"
"134","1258499","01/11/2018 - 23:00","01/11/2018 - 23:00","01/11/2018 - 23:00","0","0.0.0.0","0","Anonymous","INH","","2014","","X","2","Île-de-France","","Bureau d'études","","51-200","Entreprises paysagistes","Assistant(e) de projet","","X","","","","","","","X","X","","","","","","","1","34320","31200"
"135","1258541","01/11/2018 - 23:57","01/11/2018 - 23:57","01/11/2018 - 23:57","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","X","","0","Paris","","Agence","","6-10","Entreprises paysagistes","Autre","Stage ""de professionalisation""","","","","X","","X","X","","X","","","","","","","0","24960","0"
"136","1258701","02/11/2018 - 08:16","02/11/2018 - 08:16","02/11/2018 - 08:16","0","0.0.0.0","0","Anonymous","Autre","Bts aménagements paysagers spécialisé conception","2008","","X","10","Autre","Perpignan","Autre","Espaces verts ","11-25","Entreprises paysagistes","Chargé(e) d'étude confirmé","","X","X","X","X","","X","X","","X","X","X","X","X","X","X","4","28200","20400"
"137","1259268","02/11/2018 - 12:09","02/11/2018 - 12:09","02/11/2018 - 12:09","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2018","X","","1","Autre","CAEN","Maîtrise d'œuvre","","11-25","Géomètre ","Chargé(e) d'étude débutant","","X","","","X","","","X","","X","X","X","X","","","","0","27000","0"
"138","1259522","02/11/2018 - 14:06","02/11/2018 - 14:06","02/11/2018 - 14:06","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","","X","2","Paris","","Agence","","11-25","Entreprises d'architecture","Assistant(e) de projet","","X","","","X","X","","","X","X","X","X","X","X","X","X","1","31200","0"
"139","1259698","02/11/2018 - 15:05","02/11/2018 - 15:05","02/11/2018 - 15:05","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","X","","4","Autre","PAU","Agence","","1","Entreprises paysagistes","Directeur(trice) d'agence","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","2","26000","15000"
"140","1260125","02/11/2018 - 16:56","02/11/2018 - 16:56","02/11/2018 - 16:56","0","0.0.0.0","0","Anonymous","ENSAPL","","2014","","X","3","Lille","","Maîtrise d'œuvre","","6-10","Entreprises d architecture ","Chef(fe) de projet débutant","","","","","X","","X","X","X","X","X","X","X","X","X","","2","26400","500"
"141","1260160","02/11/2018 - 17:12","02/11/2018 - 17:12","03/11/2018 - 17:37","0","0.0.0.0","0","Anonymous","ENSNP","","2013","","X","4","Lyon","","Agence","","11-25","Entreprises d'architecture","Chef(fe) de projet","","X","X","","X","X","X","X","X","X","X","X","X","X","X","","0","31200","500"
"142","1260428","02/11/2018 - 18:47","02/11/2018 - 18:47","02/11/2018 - 18:47","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","X","","2","Toulouse","","Agence","","2-5","Entreprises d'architecture et de paysage (2 agences)","Chef(fe) de projet débutant","","X","","","X","","X","X","X","X","X","X","","","","","1","23400","23400"
"143","1260692","02/11/2018 - 21:30","02/11/2018 - 21:30","23/11/2018 - 21:15","0","0.0.0.0","0","Anonymous","Lullier","","2016","","X","2","Lyon","","Agence","","6-10","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","X","X","","X","X","X","X","X","X","X","X","X","","2","25900","0"
"144","1260884","03/11/2018 - 00:25","03/11/2018 - 00:25","03/11/2018 - 00:25","0","0.0.0.0","0","Anonymous","INH","","2017","X","","1","Île-de-France","","Bureau d'études","","51-200","Syntec","Chargé(e) d'étude","","X","","","","","","","","","","","","","","","1","28000","0"
"145","1261031","03/11/2018 - 08:56","03/11/2018 - 08:56","03/11/2018 - 08:56","0","0.0.0.0","0","Anonymous","Autre","En sa Nantes","2015","X","","3","Nantes","","Agence","","6-10","Entreprises d’architecture","Chargé(e) d'étude","","","","","X","","X","","X","X","X","X","X","X","X","X","2","25200","500"
"146","1261237","03/11/2018 - 10:48","03/11/2018 - 10:48","03/11/2018 - 10:48","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2012","X","","4","Autre","Finlande","Agence","","11-25","Entreprises paysagistes","Chargé(e) d'étude confirmé","","","","","X","","","","X","X","X","X","X","","","","1","54800","0000"
"147","1261350","03/11/2018 - 11:56","03/11/2018 - 11:56","23/11/2018 - 21:13","0","0.0.0.0","0","Anonymous","Gembloux","","2015","X","","3","Autre","Lorraine","Agence","","2-5","Entreprises d'architecture","Assistant(e) de projet","","X","","","X","X","X","X","","X","X","X","X","X","X","X","2","22742","22742"
"148","1261756","03/11/2018 - 15:42","03/11/2018 - 15:42","03/11/2018 - 15:42","0","0.0.0.0","0","Anonymous","ENSAPBX","","2014","","X","2","Autre","ROUEN","Autre","Entreprise espaces verts","26-50","Entreprises paysagistes","Chargé(e) d'étude","","X","","X","X","","X","","","X","X","X","X","X","X","X","1","31200","0"
"149","1264059","04/11/2018 - 18:52","04/11/2018 - 18:52","04/11/2018 - 18:52","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","X","","2","Rennes","","Agence","","2-5","Entreprises paysagistes","Assistant(e) de projet","","X","","","X","","","","X","X","X","X","X","X","","","2","22984","0"
"150","1264765","04/11/2018 - 22:49","04/11/2018 - 22:49","04/11/2018 - 22:49","0","0.0.0.0","0","Anonymous","INH","","2018","X","","1","Bordeaux","","Autre","Entreprise travaux ","1001-...","Entreprises paysagistes","Autre","Conducteur de travaux ","X","X","X","","","","X","","","","","","","X","X","3","34200","209"
"154","1265371","05/11/2018 - 08:55","05/11/2018 - 08:55","05/11/2018 - 08:55","0","0.0.0.0","0","Anonymous","INH","","2009","X","","10","Nantes","","Agence","","11-25","Syntec","Chef(fe) de projet","","X","","X","X","","X","X","X","X","X","X","X","","","X","5","33000","500"
"155","1270239","05/11/2018 - 21:39","05/11/2018 - 21:39","05/11/2018 - 21:39","0","0.0.0.0","0","Anonymous","ENSAPBX","","2006","","X","12","Lyon","","Public","","26-50","fonction publique territoriale","Autre","Chargé de mission urbanisme et paysage","X","X","","X","","X","","","","","","","X","","","8","31200","0"
